tweet_user_x,tweet_id,tweet_url,tweet_text,Number_of_panels,type_of_image,scale,type_of_subject,attributes_of_subject,contains_words,face_posture_emotion,narrative_old,narrative,emotional_appeal,intent,actor,Notes,Labeler,overlap,date,retweet_count,favorite_count,followers_int,tweet_user_y,Number_of_panels_b,type_of_image_ar,type_of_image_illustration,type_of_image_screenshot,scale_ar,scale_other,scale_closeup,scale_long,type_of_subject_ar,type_of_subject_text,type_of_subject_object,type_of_subject_scene,type_of_subject_creature,type_of_subject_other,attributes_of_subject_ar,attributes_of_subject_posture,attributes_of_subject_na,attributes_of_subject_poster,attributes_of_subject_scene,contains_words_ar,contains_words_no,face_posture_emotion_ar,face_posture_emotion_neutral,face_posture_emotion_positive,face_posture_emotion_negative,narrative_ar,narrative_hero,narrative_fool,narrative_villain,narrative_victim,narrative_other,emotional_appeal_ar,emotional_appeal_pride,emotional_appeal_humor,emotional_appeal_outrage,emotional_appeal_compassion,emotional_appeal_fear,emotional_appeal_encouragement,emotional_appeal_sadness,emotional_appeal_gratitude,emotional_appeal_hope,emotional_appeal_thankfulness,intent_ar,intent_info,intent_call_to_action,actor_ar,actor_ukr_military,actor_rus_military,actor_ukr_civilians,actor_russia,actor_putin,actor_ukraine,actor_zelensky,actor_west,tweet_user_DefenceU,tweet_user_uamemesforces,tweet_user_OFFICIAL,sample_weight,tweet_user_Ukraine,day,days_from_start,followers_log,np.log2(followers_int + 1),actor_simplified
uamemesforces,1534833190195580931,https://twitter.com/uamemesforces/status/1534833190195580931,https://t.co/Z9pEqk9cN1,single,photo,medium,character,facial expression,yes,negative,"victim, fool","victim, fool",outrage,other,"ukraine, western gov",,Yelena,,2022-06-09 09:42:03+00:00,808,8276,217905.9891130359,uamemesforces,0,['photo'],0,0,['medium'],0,0,0,['character'],0,0,0,0,0,['facial expression'],0,0,0,0,['yes'],0,['negative'],0,0,1,"['victim', 'fool']",0,1,0,1,0,['outrage'],0,0,1,0,0,0,0,0,0,0,['other'],0,0,"['ukraine', 'western gov']",0,0,0,0,0,1,0,False,0,1,0,0.775346462436178,0,2022-06-09,106.0,17.733352944396884,17.733352944396884,Ukraine
DefenceU,1501511839288602629,https://twitter.com/DefenceU/status/1501511839288602629,❗️Оперативна інформація станом на 12.00 09.03.2022 щодо російського вторгнення ➡️ https://t.co/LMtjyiVeoX,single,illustration,other,text,poster,yes,na,"hero, villain","hero, villain",pride,info,"ukr military, russia",,Yelena,,2022-03-09 10:54:53+00:00,47,210,687764.1935483859,DefenceU,0,['illustration'],1,0,['other'],1,0,0,['text'],1,0,0,0,0,['poster'],0,0,1,0,['yes'],0,['na'],0,0,0,"['hero', 'villain']",1,0,1,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['info'],1,0,"['ukr military', 'russia']",1,0,0,1,0,0,0,False,1,0,1,0.6384384384384384,0,2022-03-09,14.0,19.391556580173926,19.391556580173926,Ukr milit.
uamemesforces,1498383405255376900,https://twitter.com/uamemesforces/status/1498383405255376900,https://t.co/9NcAG8v8Lj,single,photo,closeup,character,posture,yes,neutral,hero,hero,"humor, pride",other,zelensky,,Corrdao,,2022-02-28 19:43:37+00:00,21,309,147.0,uamemesforces,0,['photo'],0,0,['closeup'],0,1,0,['character'],0,0,0,0,0,['posture'],1,0,0,0,['yes'],0,['neutral'],1,0,0,['hero'],1,0,0,0,0,"['humor', 'pride']",1,1,0,0,0,0,0,0,0,0,['other'],0,0,['zelensky'],0,0,0,0,0,0,1,False,0,1,0,0.775346462436178,0,2022-02-28,5.0,7.20945336562895,7.20945336562895,Zelensky
uamemesforces,1573038933209923590,https://twitter.com/uamemesforces/status/1573038933209923590,https://t.co/Fb6fXK3Oof,multiple,illustration,other,creature,facial expression,yes,"positive,negative",villain,villain,"humor, outrage",other,rus civilians,,Corrdao,,2022-09-22 19:58:01+00:00,1635,15566,286187.84367719234,uamemesforces,1,['illustration'],1,0,['other'],1,0,0,['creature'],0,0,0,1,0,['facial expression'],0,0,0,0,['yes'],0,"['positive', 'negative']",0,1,1,['villain'],0,0,1,0,0,"['humor', 'outrage']",0,1,1,0,0,0,0,0,0,0,['other'],0,0,['rus civilians'],0,0,0,0,0,0,0,False,0,1,0,0.775346462436178,0,2022-09-22,211.0,18.126607907908454,18.126607907908454,none
DefenceU,1551812056659247104,https://twitter.com/DefenceU/status/1551812056659247104,"Oleksandra, #UAarmy  
&quot;The only difficulties I have had to deal with and still have to deal with are the worries of my mom and the deaths of my friends
The lack of comfortable conditions doesn’t stress me
This is war
You need to be ready for everything.&quot;
📷https://t.co/X2lmGAhree",single,photo,closeup,character,facial expression,no,neutral,hero,hero,pride,other,ukr military,lady soldier,Yelena,,2022-07-26 06:10:00+00:00,759,7120,1180772.65496136,DefenceU,0,['photo'],0,0,['closeup'],0,1,0,['character'],0,0,0,0,0,['facial expression'],0,0,0,0,['no'],1,['neutral'],1,0,0,['hero'],1,0,0,0,0,['pride'],1,0,0,0,0,0,0,0,0,0,['other'],0,0,['ukr military'],1,0,0,0,0,0,0,False,1,0,1,0.6384384384384384,0,2022-07-26,153.0,20.171301007250598,20.171301007250598,Ukr milit.
DefenceU,1509309278758350853,https://twitter.com/DefenceU/status/1509309278758350853,"Президент України Володимир Зеленський відзначив 1️⃣2️⃣2️⃣ українських Захисники і Захисниці державними нагородами.  З них 2️⃣3️⃣ воїни  - посмертно.

 ✍🏻Відповідний Указ №190/2022 опубліковано  на сайті Офісу Президента: ➡️ https://t.co/Pl9uE0Iz1e

#stoprussia #народна_війна",single,photo,closeup,object,na,no,na,,none,"pride, compassion",other,"zelensky, ukr military",,Yelena,,2022-03-30 23:19:08+00:00,102,593,855935.0,DefenceU,0,['photo'],0,0,['closeup'],0,1,0,['object'],0,1,0,0,0,['na'],0,1,0,0,['no'],1,['na'],0,0,0,['none'],0,0,0,0,0,"['pride', 'compassion']",1,0,0,1,0,0,0,0,0,0,['other'],0,0,"['zelensky', 'ukr military']",1,0,0,0,0,0,1,False,1,0,1,0.6384384384384384,0,2022-03-30,35.0,19.707143401980908,19.707143401980908,Ukr milit.
uamemesforces,1526625414784995333,https://twitter.com/uamemesforces/status/1526625414784995333,https://t.co/vWeydCoXvR,multiple,illustration,other,text,na,yes,na,fool,fool,"humor, pride",other,rus military,,Corrdao,,2022-05-17 18:07:16+00:00,869,14301,188045.4843719125,uamemesforces,1,['illustration'],1,0,['other'],1,0,0,['text'],1,0,0,0,0,['na'],0,1,0,0,['yes'],0,['na'],0,0,0,['fool'],0,1,0,0,0,"['humor', 'pride']",1,1,0,0,0,0,0,0,0,0,['other'],0,0,['rus military'],0,1,0,0,0,0,0,False,0,1,0,0.775346462436178,0,2022-05-17,83.0,17.52072980912336,17.52072980912336,Rus milit.
uamemesforces,1507061487776550913,https://twitter.com/uamemesforces/status/1507061487776550913,https://t.co/X5wY6wFXyf,multiple,illustration,closeup,character,facial expression,yes,"positive, negative",villain,villain,fear,other,rus military,,Yelena,,2022-03-24 18:27:13+00:00,180,1303,96974.2308269007,uamemesforces,1,['illustration'],1,0,['closeup'],0,1,0,['character'],0,0,0,0,0,['facial expression'],0,0,0,0,['yes'],0,"['positive', 'negative']",0,1,1,['villain'],0,0,1,0,0,['fear'],0,0,0,0,1,0,0,0,0,0,['other'],0,0,['rus military'],0,1,0,0,0,0,0,False,0,1,0,0.775346462436178,0,2022-03-24,29.0,16.56532868430901,16.56532868430901,Rus milit.
DefenceU,1516102338846629896,https://twitter.com/DefenceU/status/1516102338846629896,"russian genocidal units.The 64th MRB, one among many such units which committed the #BuchaMassacre, was awarded by 🇷🇺 president honorary title of “Guards”.
Civilian murders, looting and inglorious retreat-these are the &quot;heroic&quot; deeds of these war criminals in Ukraine.",multiple,"illustration, photo",long,"character, text",posture,yes,negative,"villain, victim","victim, villain","outrage, compassion",info,"ukr civilians, rus military",,Arthur,,2022-04-18 17:12:20+00:00,1480,3629,971215.0,DefenceU,1,"['illustration', 'photo']",1,0,['long'],0,0,1,"['character', 'text']",1,0,0,0,0,['posture'],1,0,0,0,['yes'],0,['negative'],0,0,1,"['victim', 'villain']",0,0,1,1,0,"['outrage', 'compassion']",0,0,1,1,0,0,0,0,0,0,['info'],1,0,"['ukr civilians', 'rus military']",0,1,1,0,0,0,0,False,1,0,1,0.6384384384384384,0,2022-04-18,54.0,19.88943266346298,19.88943266346298,Rus milit.
uamemesforces,1528083231337218050,https://twitter.com/uamemesforces/status/1528083231337218050,https://t.co/4pW442zoDt,multiple,illustration,medium,character,facial expression,yes,positive,hero,"hero, other",humor,other,"ukraine, poland",,Yelena,,2022-05-21 18:40:07+00:00,627,12355,194424.51473010555,uamemesforces,1,['illustration'],1,0,['medium'],0,0,0,['character'],0,0,0,0,0,['facial expression'],0,0,0,0,['yes'],0,['positive'],0,1,0,"['hero', 'other']",1,0,0,0,1,['humor'],0,1,0,0,0,0,0,0,0,0,['other'],0,0,"['ukraine', 'poland']",0,0,0,0,0,1,0,True,0,1,0,0.775346462436178,0,2022-05-21,87.0,17.568858032676676,17.568858032676676,Ukraine
